  Current Time (s),Current Time (years),Pore Volume,Phase1-S11- Volume rate,Phase2-S11- Volume rate,Phase1-S11- Cumulative production,Phase2-S11- Cumulative production,Phase1-S11- Averaged PhaseVolumeFraction,Phase2-S11- Averaged PhaseVolumeFraction,Phase1-S11- Averaged Density,Phase2-S11- Averaged Density
 0.59062406521E+01,0.18728566248E-06,0.30430818085E+01,0.65698424962E+00,0.47724651686E-01,0.30417226061E+01,0.11051379455E+01,0.49539053573E+00,0.50460946427E+00,0.10000000000E+01,0.10000000000E+01
 0.62891352342E+01,0.19942717003E-06,0.30430818085E+01,0.66346689949E+00,0.41936823830E-01,0.32957604873E+01,0.11211953281E+01,0.50496421768E+00,0.49503578232E+00,0.10000000000E+01,0.10000000000E+01
 0.66719718456E+01,0.21156683935E-06,0.30430818085E+01,0.66860911723E+00,0.37278075644E-01,0.35517285361E+01,0.11354667403E+01,0.51325163090E+00,0.48674836910E+00,0.10000000000E+01,0.10000000000E+01
 0.70547620519E+01,0.22370503716E-06,0.30430818085E+01,0.69015665924E+00,0.34559601551E-01,0.38159137460E+01,0.11486958173E+01,0.52025082542E+00,0.47974917458E+00,0.10000000000E+01,0.10000000000E+01
 0.74361408310E+01,0.23579847891E-06,0.30430818085E+01,0.69174779508E+00,0.31400817736E-01,0.40797316756E+01,0.11606714228E+01,0.52642539776E+00,0.47357460224E+00,0.10000000000E+01,0.10000000000E+01
 0.78176289994E+01,0.24789538938E-06,0.30430818085E+01,0.69310341780E+00,0.28733826987E-01,0.43441424290E+01,0.11716330378E+01,0.53201080551E+00,0.46798919449E+00,0.10000000000E+01,0.10000000000E+01
 0.81992060481E+01,0.25999511822E-06,0.30430818085E+01,0.69423427078E+00,0.26456099067E-01,0.46090462931E+01,0.11817280780E+01,0.53709750822E+00,0.46290249178E+00,0.10000000000E+01,0.10000000000E+01
 0.85808568646E+01,0.27209718622E-06,0.30430818085E+01,0.69519357075E+00,0.24490796087E-01,0.48743674870E+01,0.11910750104E+01,0.54176089493E+00,0.45823910507E+00,0.10000000000E+01,0.10000000000E+01
 0.89625715949E+01,0.28420128091E-06,0.30430818085E+01,0.69601889934E+00,0.22779373566E-01,0.51400481534E+01,0.11997702328E+01,0.54606061015E+00,0.45393938985E+00,0.10000000000E+01,0.10000000000E+01
 0.93443410246E+01,0.29630711012E-06,0.30430818085E+01,0.69673754372E+00,0.21276360647E-01,0.54060412482E+01,0.12078928969E+01,0.55004564437E+00,0.44995435563E+00,0.10000000000E+01,0.10000000000E+01
 0.97261599121E+01,0.30841450761E-06,0.30430818085E+01,0.69736973522E+00,0.19946433234E-01,0.56723101847E+01,0.12155088218E+01,0.55375573448E+00,0.44624426552E+00,0.10000000000E+01,0.10000000000E+01
 0.10108022992E+02,0.32052330645E-06,0.30430818085E+01,0.69793070678E+00,0.18761574389E-01,0.59388241540E+01,0.12226731744E+01,0.55722409475E+00,0.44277590525E+00,0.10000000000E+01,0.10000000000E+01
 0.10489924603E+02,0.33263332709E-06,0.30430818085E+01,0.69843224046E+00,0.17699531327E-01,0.62055565518E+01,0.12294326539E+01,0.56047821526E+00,0.43952178474E+00,0.10000000000E+01,0.10000000000E+01
 0.10871860627E+02,0.34474443897E-06,0.30430818085E+01,0.69888366069E+00,0.16742245663E-01,0.64724853985E+01,0.12358271207E+01,0.56354160000E+00,0.43645840000E+00,0.10000000000E+01,0.10000000000E+01
 0.11253827505E+02,0.35685652920E-06,0.30430818085E+01,0.69929240393E+00,0.15875029648E-01,0.67395919345E+01,0.12418908562E+01,0.56643417360E+00,0.43356582640E+00,0.10000000000E+01,0.10000000000E+01
 0.11635821457E+02,0.36896947795E-06,0.30430818085E+01,0.69966441502E+00,0.15085885549E-01,0.70068595093E+01,0.12476535732E+01,0.56917269363E+00,0.43082730637E+00,0.10000000000E+01,0.10000000000E+01
 0.12017840730E+02,0.38108322965E-06,0.30430818085E+01,0.70000465283E+00,0.14364804912E-01,0.72742747783E+01,0.12531412056E+01,0.57177180378E+00,0.42822819622E+00,0.10000000000E+01,0.10000000000E+01
 0.12399883706E+02,0.39319773295E-06,0.30430818085E+01,0.70031708119E+00,0.13703437911E-01,0.75418260002E+01,0.12583765078E+01,0.57424411435E+00,0.42575588565E+00,0.10000000000E+01,0.10000000000E+01
 0.12781949023E+02,0.40531294465E-06,0.30430818085E+01,0.70060506004E+00,0.13094711903E-01,0.78095028941E+01,0.12633795430E+01,0.57660075459E+00,0.42339924541E+00,0.10000000000E+01,0.10000000000E+01
 0.13164034226E+02,0.41742878697E-06,0.30430818085E+01,0.70087141572E+00,0.12532617084E-01,0.80772954914E+01,0.12681680705E+01,0.57885152858E+00,0.42114847142E+00,0.10000000000E+01,0.10000000000E+01
 0.13546137600E+02,0.42954520549E-06,0.30430818085E+01,0.70111851875E+00,0.12012075189E-01,0.83451952433E+01,0.12727579250E+01,0.58100486593E+00,0.41899513407E+00,0.10000000000E+01,0.10000000000E+01
 0.13928258015E+02,0.44166216436E-06,0.30430818085E+01,0.70134837716E+00,0.11528726969E-01,0.86131947762E+01,0.12771632869E+01,0.58306821435E+00,0.41693178565E+00,0.10000000000E+01,0.10000000000E+01
 0.14310394004E+02,0.45377961708E-06,0.30430818085E+01,0.70156281897E+00,0.11078651183E-01,0.88812871778E+01,0.12813968383E+01,0.58504904939E+00,0.41495095061E+00,0.10000000000E+01,0.10000000000E+01
 0.14692545105E+02,0.46589754900E-06,0.30430818085E+01,0.70176331716E+00,0.10658486766E-01,0.91494668022E+01,0.12854699907E+01,0.58695362987E+00,0.41304637013E+00,0.10000000000E+01,0.10000000000E+01
 0.15074710218E+02,0.47801592523E-06,0.30430818085E+01,0.70195112012E+00,0.10265368557E-01,0.94177280312E+01,0.12893930565E+01,0.58878772245E+00,0.41121227755E+00,0.10000000000E+01,0.10000000000E+01
 0.15456888385E+02,0.49013471540E-06,0.30430818085E+01,0.70212752488E+00,0.98968423380E-02,0.96860658415E+01,0.12931754135E+01,0.59055590505E+00,0.40944409495E+00,0.10000000000E+01,0.10000000000E+01
